Rank,Country,country,continent,2024 population,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,1990 population,1980 population,1970 population,Land Area (Km²),density (km²),Yearly Change,Net Change,Fert. Rate,Med. Age,Urban Pop %,growth rate,world percentage
1,IND,India,Asia,1450935791,1428627663,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,"29,73,190",481,0.89%,"1,28,66,195",2,28,37%,0.81%,17.78%
2,CHN,China,Asia,1419321278,1425671352,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,"93,88,211",151,-0.23%,"-32,63,655",1,40,66%,-0.02%,17.39%
3,USA,United States,North America,345426571,339996563,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,"91,47,420",37,0.57%,"19,49,236",1.6,38,82%,0.50%,4.23%
4,IDN,Indonesia,Asia,283487931,277534122,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,"18,11,570",148,0.82%,"22,97,864",2.1,30,59%,0.74%,3.47%
5,PAK,Pakistan,Asia,251269164,240485658,235824862,227196741,210969298,194454498,154369924,115414069,80624057,59290872,"7,70,880",312,1.52%,"37,64,669",3.5,20,34%,1.98%,3.08%
6,NGA,Nigeria,Africa,232679478,223804632,218541212,208327405,183995785,160952853,122851984,95214257,72951439,55569264,"9,10,770",246,2.10%,"47,96,533",4.4,18,54%,2.41%,2.85%
7,BRA,Brazil,South America,211998573,216422446,215313498,213196304,205188205,196353492,175873720,150706446,122288383,96369875,"83,58,140",26,0.41%,"8,57,844",1.6,34,91%,0.52%,2.60%
8,BGD,Bangladesh,Asia,173562364,172954319,171186372,167420951,157830000,148391139,129193327,107147651,83929765,67541860,"1,30,170",1329,1.22%,"20,95,374",2.1,26,42%,1.03%,2.13%
9,RUS,Russia,Europe,144820423,144444359,144713314,145617329,144668389,143242599,146844839,148005704,138257420,130093010,"1,63,76,870",9,-0.43%,"-6,20,077",1.5,40,75%,-0.19%,1.77%
10,MEX,Mexico,North America,132059767,128455567,127504125,125998302,120149897,112532401,97873442,81720428,67705186,50289306,"10,00,000",66,2.62%,"33,68,075",3.9,19,22%,0.75%,1.62%
